caseid,dAge,dAncstry1,dAncstry2,iAvail,iCitizen,iClass,dDepart,iDisabl1,iDisabl2,iEnglish,iFeb55,iFertil,dHispanic,dHour89,dHours,iImmigr,dIncome1,dIncome2,dIncome3,dIncome4,dIncome5,dIncome6,dIncome7,dIncome8,dIndustry,iKorean,iLang1,iLooking,iMarital,iMay75880,iMeans,iMilitary,iMobility,iMobillim,dOccup,iOthrserv,iPerscare,dPOB,dPoverty,dPwgt1,iRagechld,dRearning,iRelat1,iRelat2,iRemplpar,iRiders,iRlabor,iRownchld,dRpincome,iRPOB,iRrelchld,iRspouse,iRvetserv,iSchool,iSept80,iSex,iSubfam1,iSubfam2,iTmpabsnt,dTravtime,iVietnam,dWeek89,iWork89,iWorklwk,iWWII,iYearsch,iYearwrk,dYrsserv
1639094,3,2,1,0,0,1,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,2,0,0,0,4,2,2,3,0,2,0,2,2,1,0,1,0,0,0,6,0,0,10,0,1,0,2,0,1,0,0,3,0,0,0,2,2,0,6,3,0
2222140,4,1,1,0,0,1,2,2,2,0,0,3,0,3,3,0,2,0,0,0,0,0,0,0,9,0,2,0,0,0,1,4,1,2,2,0,2,0,2,1,2,3,1,0,0,1,1,0,3,10,0,1,0,1,0,1,0,0,0,2,0,2,1,1,0,10,1,0
495190,4,1,2,0,0,3,5,2,2,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0,10,0,2,0,0,0,1,4,2,2,3,0,2,0,2,1,0,3,0,0,0,1,1,0,3,10,0,1,0,1,0,0,0,0,0,1,0,2,1,1,0,10,1,0
568462,7,3,1,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,4,2,2,0,0,2,0,2,1,0,0,0,0,0,0,6,0,2,23,0,1,0,1,0,0,0,0,3,0,0,0,2,2,0,1,6,0
849491,7,11,1,0,0,0,0,2,2,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,4,2,2,0,0,2,0,1,1,4,0,0,0,0,0,6,0,2,10,0,3,0,1,0,1,0,0,3,0,0,0,2,2,0,1,6,0
2121609,2,0,1,0,0,1,4,2,2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,8,0,2,0,4,0,10,4,1,2,3,0,2,0,2,0,4,2,2,0,112,0,1,1,2,10,1,6,0,2,0,1,0,0,0,5,0,2,1,0,0,6,1,0
92244,5,2,1,0,0,1,0,2,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,2,0,0,0,4,1,2,6,0,2,0,2,0,3,0,1,0,0,0,6,0,0,10,0,1,0,3,0,1,0,0,3,0,0,0,2,2,0,11,4,0
964394,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,4,0,2,0,121,0,0,1,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2060088,7,11,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,2,1,2,0,1,2,0,0,2,0,0,12,0,0,0,6,0,0,10,0,5,11,1,0,0,0,0,3,0,0,0,2,2,0,4,6,1
1990759,4,11,1,0,0,1,2,2,2,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0,5,0,2,0,0,0,1,2,1,2,1,0,2,0,2,1,0,3,0,0,0,1,1,0,3,10,0,1,1,1,1,0,0,0,0,4,0,2,1,1,0,10,1,1
