A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG
1,69,26,169,72,90,37,78,197,186,116,100,195,109,10,22,1,0,2,0,2,0,1,0,0,1,0,2,1,3,0,0,0
2,32,20,108,117,75,38,109,192,145,170,70,173,78,10,19,0,2,0,2,0,0,0,1,1,0,0,2,1,3,0,0,0
3,89,24,170,120,77,39,118,168,182,175,86,219,111,10,14,1,0,2,2,0,0,0,0,2,1,0,2,1,3,0,0,0
4,78,39,179,104,113,36,77,178,253,60,57,186,111,6,24,1,2,2,0,2,1,0,0,0,1,0,2,1,3,0,0,0
5,38,37,95,89,117,40,78,198,149,147,50,234,102,9,19,0,2,2,1,2,1,0,0,0,1,0,2,1,0,1,1,0
6,41,39,138,93,100,40,91,191,125,136,33,201,94,6,15,1,2,0,2,1,0,0,0,0,1,2,1,1,4,1,1,0
7,20,35,162,89,97,37,42,197,170,194,44,56,78,9,17,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0
8,39,37,139,110,59,37,68,161,131,171,82,146,113,9,15,0,2,0,3,2,0,0,1,0,0,1,0,0,0,1,0,0
9,70,30,170,113,88,40,70,168,210,147,75,219,127,10,22,0,2,2,0,1,0,0,0,0,1,0,2,1,3,0,0,0
10,19,28,101,83,68,38,105,199,216,82,36,147,94,4,16,0,2,0,0,1,1,0,1,2,1,1,0,0,0,1,0,0
11,47,21,112,107,113,38,84,185,196,182,47,151,101,6,21,1,2,0,2,0,0,0,0,1,1,2,1,1,4,1,1,0
12,55,33,143,103,68,38,112,149,271,172,50,235,91,5,20,0,2,3,2,1,0,0,0,0,1,2,1,1,4,1,1,0
13,19,37,158,92,111,35,61,159,125,130,37,151,124,10,25,1,0,1,2,2,0,0,0,0,2,1,0,0,1,0,0,0
14,81,31,148,100,62,36,49,155,288,111,88,105,130,7,13,1,1,1,0,2,1,0,1,0,0,0,2,1,3,0,0,1
15,77,23,125,108,74,35,60,145,187,114,49,235,126,6,20,0,2,0,3,2,0,0,0,0,1,1,0,0,1,0,0,0
16,38,40,92,69,91,37,56,156,150,174,96,195,130,10,14,0,2,2,0,1,1,0,1,0,0,0,2,1,3,0,0,0
17,50,27,147,77,88,38,106,145,286,139,84,216,136,9,16,0,0,1,2,2,0,1,1,0,1,0,2,1,3,0,0,0
