country,city,property_type,furnishing_status,property_size_sqft,price,constructed_year,previous_owners,rooms,bathrooms,garage,garden,crime_cases_reported,legal_cases_on_property,customer_salary,loan_amount,loan_tenure_years,monthly_expenses,down_payment,emi_to_income_ratio,satisfaction_score,neighbourhood_rating,connectivity_score,decision
4,21,1,1,991,412935,1989,6,6,2,1,1,1,0,10745,193949,15,6545,218986,0.16,1,5,6,0
9,6,0,1,1244,224538,1990,4,8,8,1,1,1,1,16970,181465,20,8605,43073,0.08,9,1,2,0
9,14,1,1,4152,745104,2019,5,2,1,1,1,0,0,21914,307953,30,2510,437151,0.09,6,8,1,0
5,11,1,1,3714,1110959,2008,1,3,3,0,1,0,0,17980,674720,15,8805,436239,0.33,2,6,6,0
9,14,4,0,531,99041,2007,6,3,3,1,1,3,1,17676,65833,25,8965,33208,0.03,3,3,4,0
2,23,5,1,3169,1107368,1985,0,5,2,1,0,0,0,95520,793316,30,10615,314052,0.05,10,8,2,1
1,30,3,2,1986,398439,1976,1,2,1,1,0,0,0,11426,268167,25,14440,130272,0.16,9,10,10,1
1,36,4,1,4048,807236,2020,4,6,6,1,1,1,0,29832,503385,20,7200,303851,0.13,1,5,8,0
10,10,1,1,5213,3131373,1968,6,2,1,0,0,0,0,56255,1866416,15,10300,1264957,0.29,8,8,10,1
0,22,0,2,4648,1483250,1966,2,5,2,0,1,0,1,67350,1093290,10,16360,389960,0.18,1,4,7,0
1,30,0,0,5812,1166185,2017,4,8,3,0,1,1,0,22342,918388,25,6895,247797,0.28,8,7,6,1
1,30,3,1,5507,1101275,1994,2,3,1,0,0,4,1,33832,874604,20,3885,226671,0.19,2,5,6,0
5,11,4,0,5265,1578906,2005,4,2,2,0,1,2,0,64480,671215,30,8785,907691,0.07,3,7,2,0
9,6,5,2,2002,360608,2004,6,7,2,0,1,6,0,12178,150994,10,15245,209614,0.14,6,9,1,0
11,17,3,2,4514,1806300,2003,6,3,1,1,0,0,1,83470,939041,20,3990,867259,0.08,1,2,7,0
11,16,2,0,5519,2209937,2019,1,8,6,0,1,1,1,78045,960016,15,9880,1249921,0.11,4,4,3,0
12,31,4,2,3770,1889678,2017,0,2,1,0,1,1,0,82500,1352109,30,6400,537569,0.1,7,7,5,1
3,2,2,2,3614,1370263,2013,0,4,4,0,1,0,0,25325,712117,10,4200,658146,0.32,6,3,5,0
3,32,2,2,5597,2121884,1965,1,5,5,1,0,0,0,32910,1801788,20,19035,320096,0.41,9,10,5,0
11,20,3,1,3951,1584521,1979,5,4,2,1,1,1,0,42000,1190158,10,13085,394363,0.32,10,6,9,1
12,18,1,1,5975,2984423,1974,2,8,8,0,0,1,0,53130,2489069,15,11005,495354,0.41,3,7,6,0
8,34,3,0,4175,2926456,2008,1,2,1,0,1,2,0,73930,1250966,20,4275,1675490,0.13,2,8,9,0
6,29,3,1,3504,528252,1983,5,5,1,1,0,0,0,13513,405880,15,1926,122372,0.26,5,9,3,0
11,17,4,2,4718,1891634,2012,3,8,5,1,1,2,1,83240,1377666,15,9505,513968,0.14,8,7,6,0
0,22,1,0,4358,1392975,2006,0,6,3,0,1,1,0,41085,862805,10,2740,530170,0.24,2,8,6,0
2,38,5,0,1101,386658,1998,1,7,2,0,0,4,0,60390,255826,20,12145,130832,0.03,2,8,1,0
11,20,1,2,3552,1424120,1962,0,5,2,1,0,3,1,84790,918084,30,4960,506036,0.07,10,9,9,0
7,37,3,1,3154,1423466,1997,6,1,1,1,1,0,0,37705,928240,30,3590,495226,0.16,1,4,5,0
11,4,5,2,5929,2367224,2017,6,5,3,1,0,2,0,64355,1471184,10,11750,896040,0.26,3,7,1,0
6,7,4,2,3457,522982,2011,3,1,1,0,0,1,0,18603,386182,30,1747,136800,0.13,3,9,8,0
8,34,4,1,3492,2446173,1982,0,8,1,1,0,0,0,99460,1086669,30,15915,1359504,0.07,7,5,5,1
7,15,4,2,3043,1366579,2002,2,7,6,1,1,0,0,48015,623228,25,17915,743351,0.09,10,10,8,1
5,25,5,2,5631,1687549,1996,0,6,1,0,0,0,1,64905,769646,15,10925,917903,0.1,7,8,1,0
0,22,0,1,2843,910130,1977,5,7,4,1,0,1,0,29505,380772,15,12530,529358,0.11,6,10,6,0
2,23,0,1,3094,1078050,1994,6,1,1,1,1,1,0,62025,603655,10,8270,474395,0.11,4,10,8,0
10,10,1,2,4152,2488048,1973,2,2,1,0,1,2,0,68595,1332965,20,10545,1155083,0.14,4,3,3,0
3,33,3,0,883,338311,1983,6,8,1,0,0,1,1,33255,213100,10,4970,125211,0.07,2,7,10,0
12,8,0,2,1412,702803,1961,5,1,1,0,1,4,0,91680,510843,15,5470,191960,0.05,1,2,3,0
3,32,0,1,5157,1964472,1979,3,4,1,0,0,2,1,56345,1059369,15,13930,905103,0.16,3,9,3,0
12,12,3,0,2029,1017204,1972,1,5,5,0,1,2,0,65800,463477,10,14585,553727,0.08,10,6,6,1
7,15,4,0,4530,2042444,1976,4,4,1,1,0,1,0,17015,929248,25,10120,1113196,0.37,1,10,6,0
3,33,1,1,2003,759283,1989,0,1,1,0,0,1,0,58960,332969,30,18435,426314,0.04,6,1,10,0
12,26,4,2,2498,1250360,2010,4,6,4,0,0,2,1,18775,659956,30,18520,590404,0.22,9,5,6,0
10,10,0,1,3078,1842820,1989,5,6,6,0,0,1,1,99700,1339127,30,18475,503693,0.08,4,5,8,0
3,32,1,0,5715,2175355,2004,4,8,1,0,1,2,0,53095,1676896,10,16620,498459,0.36,1,1,2,0
7,37,5,1,3711,1671717,2020,6,2,2,0,0,1,0,41095,721498,25,15800,950219,0.12,2,3,8,0
