hyperedge_id,num_features,features
H1,21,aff2_mut;age_at_diagnosis;apc_mut;brip1_mut;casp8_mut;chd1_mut;flt3_mut;foxo3_mut;gps2_mut;inferred_menopausal_state;jak1_mut;l1cam_mut;lifr_mut;map3k10_mut;map3k13_mut;men1_mut;nottingham_prognostic_index;npnt_mut;overall_survival_months;setdb1_mut;tumor_size
H2,3,cancer_type_detailed;oncotree_code;tumor_other_histologic_subtype
H3,3,age_at_diagnosis;overall_survival_months;pam50_+_claudin-low_subtype
H4,7,age_at_diagnosis;cancer_type_detailed;flt3_mut;nrg3_mut;oncotree_code;overall_survival_months;tumor_other_histologic_subtype
H5,3,age_at_diagnosis;integrative_cluster;overall_survival_months
H6,21,age_at_diagnosis;agmo_mut;casp8_mut;egfr_mut;erbb4_mut;fbxw7_mut;foxp1_mut;gps2_mut;jak1_mut;lymph_nodes_examined_positive;map3k10_mut;nottingham_prognostic_index;nrg3_mut;overall_survival_months;prkcq_mut;ptprm_mut;sik2_mut;smad4_mut;smarcc1_mut;smarcc2_mut;tumor_size
H7,6,age_at_diagnosis;flt3_mut;mutation_count;nottingham_prognostic_index;overall_survival_months;tumor_size
H8,21,aff2_mut;age_at_diagnosis;agmo_mut;bap1_mut;casp8_mut;dtwd2_mut;fbxw7_mut;flt3_mut;hdac9_mut;lymph_nodes_examined_positive;map3k13_mut;nottingham_prognostic_index;nrg3_mut;or6a2_mut;overall_survival_months;palld_mut;prkacg_mut;prkcq_mut;taf4b_mut;ttyh1_mut;tumor_size
H9,21,afdn_mut;age_at_diagnosis;asxl2_mut;bap1_mut;bcas3_mut;brca2_mut;fbxw7_mut;flt3_mut;foxo3_mut;foxp1_mut;jak1_mut;l1cam_mut;myo3a_mut;nottingham_prognostic_index;nrg3_mut;overall_survival_months;pik3r1_mut;ptprm_mut;ros1_mut;sik2_mut;stab2_mut
H10,21,age_at_diagnosis;brip1_mut;casp8_mut;flt3_mut;foxp1_mut;hdac9_mut;jak1_mut;kdm3a_mut;lymph_nodes_examined_positive;nottingham_prognostic_index;nrg3_mut;or6a2_mut;overall_survival_months;palld_mut;sbno1_mut;smad4_mut;smarcc2_mut;taf4b_mut;thsd7a_mut;ttyh1_mut;tumor_size
H11,2,death_from_cancer;overall_survival
