hyperedge_id,num_features,features
H1,18,Contribution Agricultural Machine Policies;Contribution Boat Policies;Contribution Disability Insurance Policies;Contribution Lorry Policies;Contribution Private Accident Insurance Policies;Contribution Property Insurance Policies;Contribution Surfboard Policies;Contribution Trailer Policies;Customer Main Type;Customer Subtype;Number of Agricultural Machine Policies;Number of Delivery Van Policies;Number of Disability Insurance Policies;Number of Houses;Number of Lorry Policies;Number of Surfboard Policies;Number of Trailer Policies;Purchasing Power Class
H2,21,Contribution Agricultural Machine Policies;Contribution Boat Policies;Contribution Delivery Van Policies;Contribution Disability Insurance Policies;Contribution Lorry Policies;Contribution Private Accident Insurance Policies;Contribution Property Insurance Policies;Contribution Surfboard Policies;Contribution Third Party Insurance Firms;Number of Agricultural Machine Policies;Number of Bicycle Policies;Number of Boat Policies;Number of Delivery Van Policies;Number of Disability Insurance Policies;Number of Houses;Number of Lorry Policies;Number of Motorcycle Scooter Policies;Number of Property Insurance Policies;Number of Surfboard Policies;Number of Third Party Insurance Firms;Number of Tractor Policies
H3,3,Average Household Size;Contribution Surfboard Policies;Number of Surfboard Policies
H4,3,Average Age;Contribution Surfboard Policies;Number of Surfboard Policies
H5,3,Contribution Surfboard Policies;Customer Main Type;Customer Subtype
H6,9,Contribution Agricultural Machine Policies;Contribution Disability Insurance Policies;Contribution Lorry Policies;Contribution Property Insurance Policies;Contribution Surfboard Policies;Number of Agricultural Machine Policies;Number of Lorry Policies;Number of Surfboard Policies;Roman Catholic
H7,4,Contribution Lorry Policies;Contribution Surfboard Policies;Number of Surfboard Policies;Protestant
H8,3,Contribution Surfboard Policies;Number of Surfboard Policies;Other Religion
H9,4,Contribution Lorry Policies;Contribution Surfboard Policies;No Religion;Number of Surfboard Policies
H10,5,Contribution Disability Insurance Policies;Contribution Lorry Policies;Contribution Surfboard Policies;Married;Number of Lorry Policies
H11,3,Contribution Surfboard Policies;Living Together;Number of Surfboard Policies
H12,4,Contribution Disability Insurance Policies;Contribution Lorry Policies;Contribution Surfboard Policies;Other Relation
H13,3,Contribution Lorry Policies;Contribution Surfboard Policies;Singles
H14,5,Contribution Disability Insurance Policies;Contribution Lorry Policies;Contribution Surfboard Policies;Household Without Children;Number of Lorry Policies
H15,4,Contribution Lorry Policies;Contribution Surfboard Policies;Household With Children;Number of Surfboard Policies
H16,6,Contribution Disability Insurance Policies;Contribution Lorry Policies;Contribution Surfboard Policies;High Level Education;Number of Agricultural Machine Policies;Number of Surfboard Policies
H17,2,Contribution Surfboard Policies;Medium Level Education
H18,2,Contribution Surfboard Policies;Lower Level Education
H19,2,Contribution Surfboard Policies;High Status
H20,8,Contribution Lorry Policies;Contribution Private Accident Insurance Policies;Contribution Property Insurance Policies;Contribution Surfboard Policies;Farmer;Number of Houses;Number of Property Insurance Policies;Number of Surfboard Policies
H21,4,Contribution Lorry Policies;Contribution Surfboard Policies;Middle Management;Number of Lorry Policies
H22,3,Contribution Surfboard Policies;Number of Surfboard Policies;Skilled Labourers
H23,2,Contribution Surfboard Policies;Unskilled Labourers
H24,4,Contribution Lorry Policies;Contribution Surfboard Policies;Number of Lorry Policies;Social Class A
H25,5,Contribution Disability Insurance Policies;Contribution Lorry Policies;Contribution Surfboard Policies;Number of Lorry Policies;Social Class B1
H26,5,Contribution Lorry Policies;Contribution Surfboard Policies;Number of Lorry Policies;Number of Surfboard Policies;Social Class B2
H27,5,Contribution Lorry Policies;Contribution Surfboard Policies;Number of Lorry Policies;Number of Surfboard Policies;Social Class C
H28,5,Contribution Disability Insurance Policies;Contribution Lorry Policies;Contribution Surfboard Policies;Number of Surfboard Policies;Social Class D
H29,5,Contribution Lorry Policies;Contribution Surfboard Policies;Home Owners;Number of Lorry Policies;Rented House
H30,2,Contribution Surfboard Policies;One Car
H31,2,Contribution Surfboard Policies;Two Cars
H32,4,Contribution Lorry Policies;Contribution Surfboard Policies;No Car;Number of Surfboard Policies
H33,6,Contribution Lorry Policies;Contribution Surfboard Policies;National Health Service;Number of Lorry Policies;Number of Surfboard Policies;Private Health Insurance
H34,5,Contribution Lorry Policies;Contribution Surfboard Policies;Income Less Than 30000;Number of Lorry Policies;Number of Surfboard Policies
H35,3,Contribution Surfboard Policies;Income 30000 to 45000;Number of Surfboard Policies
H36,5,Contribution Lorry Policies;Contribution Surfboard Policies;Income 45000 to 75000;Number of Lorry Policies;Number of Surfboard Policies
H37,9,Contribution Agricultural Machine Policies;Contribution Disability Insurance Policies;Contribution Lorry Policies;Contribution Surfboard Policies;Income 75000 to 122000;Number of Agricultural Machine Policies;Number of Houses;Number of Lorry Policies;Number of Surfboard Policies
H38,12,Contribution Agricultural Machine Policies;Contribution Disability Insurance Policies;Contribution Lorry Policies;Contribution Private Accident Insurance Policies;Contribution Surfboard Policies;Contribution Trailer Policies;Income Greater Than 123000;Number of Agricultural Machine Policies;Number of Delivery Van Policies;Number of Houses;Number of Lorry Policies;Number of Surfboard Policies
H39,5,Average Income;Contribution Lorry Policies;Contribution Surfboard Policies;Number of Lorry Policies;Number of Surfboard Policies
