hyperedge_id,num_features,features
H1,6,dDepart;dHours;dTravtime;iAvail;iMeans;iRiders
H2,2,iCitizen;iRPOB
H3,6,dDepart;iAvail;iDisabl2;iLooking;iTmpabsnt;iYearwrk
H4,2,iDisabl1;iDisabl2
H5,2,iEnglish;iLang1
H6,5,iFertil;iKorean;iOthrserv;iRemplpar;iSex
H7,3,dHispanic;dIncome3;iKorean
H8,2,dHour89;iWork89
H9,6,dHours;iAvail;iDisabl2;iLooking;iTmpabsnt;iYearwrk
H10,4,iImmigr;iKorean;iOthrserv;iWWII
H11,2,dIncome1;iWork89
H12,4,iMarital;iRemplpar;iRownchld;iRspouse
H13,9,iAvail;iDisabl2;iLooking;iMeans;iOthrserv;iRiders;iRlabor;iTmpabsnt;iYearwrk
H14,7,dYrsserv;iFeb55;iKorean;iMilitary;iOthrserv;iSept80;iWWII
H15,2,iRagechld;iSex
H16,3,iRelat1;iRelat2;iRownchld
H17,12,dIncome3;iFeb55;iKorean;iMay75880;iOthrserv;iRelat1;iRelat2;iRemplpar;iRownchld;iRvetserv;iSept80;iWWII
H18,19,dIncome2;dIncome3;dIncome6;dIncome7;dYrsserv;iAvail;iFeb55;iFertil;iKorean;iMarital;iMay75880;iOthrserv;iRelat2;iRemplpar;iRrelchld;iRvetserv;iSept80;iVietnam;iWWII
H19,8,iAvail;iDisabl2;iLooking;iMeans;iRiders;iRlabor;iTmpabsnt;iYearwrk
H20,5,dHours;iDisabl2;iMeans;iRiders;iRlabor
H21,3,dPOB;iCitizen;iRPOB
H22,2,iMarital;iRspouse
H23,11,dHispanic;iKorean;iMilitary;iRelat2;iRemplpar;iRownchld;iRrelchld;iRvetserv;iSept80;iVietnam;iWWII
H24,6,dTravtime;iAvail;iDisabl2;iLooking;iTmpabsnt;iYearwrk
H25,2,dWeek89;iWork89
H26,8,dDepart;dHours;dTravtime;dWeek89;iMeans;iRiders;iWork89;iYearwrk
